연번,역명,주소,경도,위도,도로명주소,지번주소
1,서울,서울특별시 중구 남대문로5가 ,126.972559,37.554648,서울특별시 중구 세종대로 지하2(남대문로 5가),서울특별시 중구 통일로 13
2,시청,서울특별시 중구 정동,126.977108,37.564718,서울특별시 중구 세종대로 지하101(정동),서울특별시 중구 정동 5-5 시청역(1호선)
3,종각,서울특별시 종로구 종로1가,126.982923,37.570161,서울특별시 종로구 종로 지하55(종로1가),서울특별시 종로구 종로1가 54 종각역(1호선)
4,종로3가,서울특별시 종로구 종로3가,126.991806,37.571607,서울특별시 종로구 종로 지하129(종로3가),서울특별시 종로구 종로3가 10-5 종로3가역(1호선)
5,종로5가,서울특별시 종로구 종로5가,127.001849,37.570926,서울특별시 종로구 종로 지하216(종로5가),서울특별시 종로구 종로5가 82-1 종로5가역(1호선)
6,동대문,서울특별시 종로구 창신동,127.009745,37.57142,서울특별시 종로구 종로 지하302(창신동),서울특별시 종로구 창신동 492-1 동대문역(1호선)
7,신설동,서울특별시 동대문구 신설동,127.025087,37.575297,서울특별시 동대문구 왕산로 지하1(신설동),서울특별시 동대문구 신설동 76-5 신설동역(1호선)
8,제기동,서울특별시 동대문구 제기동,127.034893,37.578103,서울특별시 동대문구 왕산로 지하93(제기동),서울특별시 동대문구 제기동 65 제기동역(1호선)
9,청량리,서울특별시 동대문구 전농동,127.046835,37.580178,서울특별시 동대문구 왕산로 지하205(전농동),서울특별시 동대문구 전농동 620-69 청량리역(1호선)
10,동묘앞,서울특별시 종로구 숭인동,127.016429,37.572627,서울특별시 종로구 종로 359(숭인동),서울특별시 종로구 숭인동 117 동묘앞역(1호선)
11,시청,서울특별시 중구 서소문동,126.977108,37.564718,서울특별시 중구 서소문로 지하127(서소문동),서울특별시 중구 서소문동 90-1 시청역(2호선)
12,을지로입구,서울특별시 중구 을지로1가,126.982618,37.566014,서울특별시 중구 을지로 지하42(을지로1가),서울특별시 중구 을지로1가 100-1 을지로입구역(2호선)
13,을지로3가,서울특별시 중구 을지로3가,126.99191,37.566295,서울특별시 중구 을지로 지하106(을지로3가),서울특별시 중구 을지로3가 347-3 을지로3가역(2호선)
14,을지로4가,서울특별시 중구 을지로4가,126.998079,37.566941,서울특별시 중구 을지로 지하178(을지로4가),서울특별시 중구 을지로4가 267-1 을지로4가역(2호선)
15,동대문역사문화공원,서울특별시 중구 을지로,127.007896,37.565138,서울특별시 중구 을지로 지하279(을지로7가),서울특별시 중구 을지로 7가 112-3 동대문역사문화공원역(2호선)
16,신당,서울특별시 중구 신당동,127.01782,37.565972,서울특별시 중구 퇴계로 지하431-1(신당동),서울특별시 중구 신당동 99 신당역(2호선)
17,상왕십리,서울특별시 성동구 하왕십리동,127.029354,37.564354,서울특별시 성동구 왕십리로 지하374(하왕십리동),서울특별시 성동구 하왕십리동 946-14 상왕십리역(2호선)
18,왕십리,서울특별시 성동구 행당동,127.037732,37.561533,서울특별시 성동구 왕십리로 지하300(행당동),서울특별시 성동구 행당동 192 왕십리역(2호선)
19,한양대,서울특별시 성동구 행당동,127.043655,37.555273,서울특별시 성동구 왕십리로 206(행당동),서울특별시 성동구 행당동 산17 한양대역(2호선)
20,뚝섬,서울특별시 성동구 성수동1가,127.047367,37.547184,서울특별시 성동구 아차산로 18(성수동1가),서울특별시 성동구 성수동1가 656-745 뚝섬역(2호선)
21,성수,서울특별시 성동구 성수동2가,127.055961,37.544581,서울특별시 성동구 아차산로 100(성수동2가),서울특별시 성동구 성수동2가 300-1 성수역(2호선)
22,건대입구,서울특별시 광진구 화양동,127.07023,37.540693,서울특별시 광진구 아차산로 243(화양동),서울특별시 광진구 화양동 7-3 2호선 건대입구역(2호선)
23,구의,서울특별시 광진구 구의동,127.085916,37.537077,서울특별시 광진구 아차산로 384-1(구의동),서울특별시 광진구 구의동 245-24 구의역(2호선)
24,강변,서울특별시 광진구 구의동,127.094681,37.535095,서울특별시 광진구 강변역로 53(구의동),서울특별시 광진구 구의동 546-6 강변역(2호선)
