관리번호,분류,대표명,주소,경도,위도,사업장명,지번주소,도로명주소,
1,대형슈퍼,롯데슈퍼,서울특별시 양천구 목동,126.871475,37.5341766,롯데슈퍼 목동2점,서울특별시 양천구 목동 903-목동3단지아파트 관리동상가 105호,"서울특별시 양천구 목동서로 100, 105호 (목동,목동3단지아파트 관리동상가)","X :126.871475, Y :37.5341766"
2,대형슈퍼,롯데슈퍼,서울특별시 서초구 방배동,126.989284,37.4912518,롯데슈퍼 방배2점,서울특별시 서초구 방배동 816-1호,서울특별시 방배로33길 29,"X :126.989284, Y :37.4912518"
3,백화점,갤러리아백화점,서울특별시 강남구 압구정동,127.041895,37.5279702,갤러리아백화점(동관),서울특별시 강남구 압구정동 515호,"서울특별시 강남구 압구정로 407 (압구정동, 갤러리아백화점)","X :127.041895, Y :37.5279702"
4,대형슈퍼,롯데슈퍼,서울특별시 중랑구 신내동,127.092878,37.6161846,롯데프레시앤델리 봉화산역점,서울특별시 중랑구 신내동 646 금강리빙스텔,"서울특별시 중랑구 신내로 211, 금강리빙스텔 비01호 (신내동)","X :127.092878, Y :37.6161846"
5,대형슈퍼,롯데슈퍼,서울특별시 서대문구 홍제동,126.858941,37.5330449,롯데슈퍼 홍제2점,서울특별시 서대문구 홍제동 469-인왕산 한신휴플러스,"서울특별시 서대문구 통일로 397, 지4층 (홍제동, 인왕산 한신휴플러스)","X :126.858941, Y :37.5330449"
6,대형슈퍼,롯데슈퍼,서울특별시 강서구 화곡동,126.858941,37.5330449,씨에스유통 (롯데슈퍼화곡2점),서울특별시 강서구 화곡동 830-1호,서울특별시 강서구 등촌로5길 80 (화곡동),"X :126.858941, Y :37.5330449"
7,대형슈퍼,롯데슈퍼,서울특별시 서대문구 홍제동,126.942459,37.5913832,롯데슈퍼 유진점,서울특별시 서대문구 홍제동 294-46호 유진상가,"서울특별시 서대문구 통일로 484, 유진상가 1층 (홍제동)","X :126.942459, Y :37.5913832"
8,백화점,갤러리아백화점,서울특별시 강남구 압구정동,127.040029,37.5285474,갤러리아백화점(서관),서울특별시 강남구 압구정동 494호,"서울특별시 강남구 압구정로 343 (압구정동, 갤러리아백화점)","X :127.040029, Y :37.5285474"
9,대형슈퍼,GS슈퍼,서울특별시 중랑구 망우동,127.109247,37.6022055,GS THE FRESH 중랑망우점,서울특별시 중랑구 망우동 580 중랑숲금호어울림,"서울특별시 중랑구 양원역로 18, 103~106호 (망우동, 중랑숲금호어울림)","X :127.109247, Y :37.6022055"
10,대형슈퍼,이마트 에브리데이,서울특별시 성북구 길음동,127.022424,37.6042891,이마트에브리데이 길음점,서울특별시 성북구 길음동 1286-10 길음뉴타운9단지래미안 상가,"서울특별시 성북구 길음로7길 6, 길음뉴타운9단지래미안 상가 지하1층 B04~B08호 (길음동)","X :127.022424, Y :37.6042891"
