ÁÂÇ¥Á¤º¸(X),ÁÂÇ¥Á¤º¸(Y)
189943.2343,441784.2475
189759.7131,441814.1159
188700.8512,448020.091
190555.769,446698.8143
198984.3648,443229.8359
206341.5388,452530.0188
203604.7617,447316.2228
208112.8602,457113.6384
195281.3955,453657.5348
187464.4032,447877.7107
194850.361,454344.4325
194811.7563,454300.7397
203470.8484,447369.5799
200543.7549,451888.0403
209579.5427,455549.5894
201912.4356,455775.861
206341.5388,452530.0188
201912.4356,455775.861
193139.5239,453106.0026
200250.4478,444683.2205
213149.5228,443705.4731
210868.3975,442053.2279
211983.1816,448483.8891
206280.7899,462002.499
189570.3609,444336.0513
191741.3458,445970.3076
201494.6273,458136.3423
196697.0311,447931.1083
196384.5443,442822.9803
193440.5499,453256.426
196697.0311,447931.1083
196467.9751,452566.134
204775.366,448395.5878
203728.1321,452778.8933
203403.0195,452985.7254
194571.1524,445790.5499
197221.4393,446524.5084
192482.4165,452143.4915
207400.6081,448930.6832
203069.4412,447391.1304
190673.4089,446684.6501
206952.4441,457814.5296
205320.2848,461419.8818
201092.2812,451637.9327
202328.5425,456302.2964
207114.4989,451296.0494
208075.5435,449971.642
205931.0533,459884.1972
186966.0362,451047.2873
188565.0747,446750.8816
203403.0195,452985.7254
204881.3132,454280.0406
185164.5599,448756.0336
203048.6693,461867.6479
193661.7324,456379.1939
192480.0294,452634.5577
203207.6253,460455.8376
202326.1758,462116.4086
200729.8596,456347.6448
204614.2727,448607.4413
201757.4941,446282.4545
192108.9259,444944.1538
191177.5845,447965.6455
200982.7091,451817.384
193624.0149,450696.745
198091.2021,450913.3407
200091.1676,451433.5796
201075.6067,451683.0178
198737.5538,451081.8946
201047.8997,451814.3504
197843.8207,450717.3536
198838.913,452214.211
198838.913,452214.211
199837.4143,451974.1285
200002.9527,451823.5325
201359.5335,452395.6591
200579.4098,452035.3477
200673.0115,451443.2799
192661.6613,453828.586
,
198351.8187,451921.603
200863.5941,451837.4816
