개방자치단체코드,관리번호,사업장명,인허가일자,상세영업상태명,전화번호,소재지면적,지번주소,도로명주소,도로명우편번호,업태구분명,좌표정보(X),좌표정보(Y),점포구분명
3170000,2.01332E+18,마리오아울렛 1관,2013-09-06,정상영업,02-2109-7000,24253.99,서울특별시 금천구 가산동 60번지 22호,서울특별시 금천구 디지털로 185 (가산동),153-801,쇼핑센터,189943.2343,441784.2475,
3170000,2.01232E+18,마리오아울렛 3관,2012-09-13,정상영업,02-2109-7013,32887.19,서울특별시 금천구 가산동 60번지 20호,서울특별시 금천구 벚꽃로 266 (가산동),,쇼핑센터,189759.7131,441814.1159,
3140000,2.01231E+18,롯데슈퍼 목동2점,2012-04-05,정상영업,226470824,496,서울특별시 양천구 목5동 903번지 목동3단지아파트 관리동상가 105호,"서울특별시 양천구 목동서로 100, 105호 (목동,목동3단지아파트 관리동상가)",,구분없음,188700.8512,448020.091,
3180000,2.00132E+18,영등포유통상가,1999-05-31,정상영업,02-2679-3350,41973.81,서울특별시 영등포구 당산동2가 30번지 2호,서울특별시 영등포구 영등포로 109 (당산동2가),150-723,그 밖의 대규모점포,190555.769,446698.8143,
3210000,2.01232E+18,롯데슈퍼 방배2점,2012-04-24,정상영업,02-536-0004,1049.58,서울특별시 서초구 방배1동 816번지 1호,서울특별시 방배로33길 29,137-832,대형마트,198984.3648,443229.8359,
3050000,2.02331E+18,GS THE FRESH 동대문장안점,2023-03-14,영업개시전,02-2006-2364,307.23,서울특별시 동대문구 장안동 310-8 희헌빌딩,"서울특별시 동대문구 장한로28가길 45, 희헌빌딩 (장안동)",2523,구분없음,206341.5388,452530.0188,
3220000,2.00132E+18,갤러리아백화점(동관),1985-07-08,정상영업,234494406,10250,서울특별시 강남구 압구정동 515호,"서울특별시 강남구 압구정로 407 (압구정동, 갤러리아백화점)",135-902,백화점,203604.7617,447316.2228,
3060000,2.02131E+18,롯데프레시앤델리 봉화산역점,2021-11-25,정상영업,02-2290-5704,1150.47,서울특별시 중랑구 신내동 646 금강리빙스텔,"서울특별시 중랑구 신내로 211, 금강리빙스텔 비01호 (신내동)",2024,복합쇼핑몰,208112.8602,457113.6384,
3120000,2.01831E+18,롯데슈퍼 홍제2점,2012-02-07,정상영업,02-739-6780,1573,서울특별시 서대문구 홍제동 469번지 인왕산 한신휴플러스,"서울특별시 서대문구 통일로 397, 지4층 (홍제동, 인왕산 한신휴플러스)",3730,구분없음,195281.3955,453657.5348,
3150000,2.01132E+18,씨에스유통 (롯데슈퍼화곡2점),2011-07-14,정상영업,02-2643-2211,1524.6,서울특별시 강서구 화곡4동 830번지 1호,서울특별시 강서구 등촌로5길 80 (화곡동),157-900,그 밖의 대규모점포,187464.4032,447877.7107,
3120000,2.01831E+18,롯데슈퍼 유진점,2011-07-01,정상영업,02-395-3674,2040,서울특별시 서대문구 홍제동 294번지 46호 유진상가,"서울특별시 서대문구 통일로 484, 유진상가 1층 (홍제동)",3628,구분없음,194850.361,454344.4325,
3120000,1.97031E+18,유진상가,1970-08-14,정상영업,02-3216-9393,6606,서울특별시 서대문구 홍제3동 294번지 6호,서울특별시 통일로 484 (유진상가),120-760,시장,194811.7563,454300.7397,
