ÁÂÇ¥Á¤º¸(X),ÁÂÇ¥Á¤º¸(Y)
203330.125,444424.745
210491.3219,443569.7632
193084.3555,445642.8411
201601.1851,446044.7572
206020.8639,451931.5039
198324.6536,452252.8124
199163.2044,452128.837
191895.3382,446230.0373
204030.1985,446914.8238
193563.6243,442402.7485
201980.0954,458861.1203
198284.4874,441422.5475
193610.3786,442802.9236
193818.1801,446332.0898
210562.9008,443555.8647
206162.9863,451957.4967
195766.887,442051.4127
188494.599,447318.6605
191900.8897,446178.4263
192884.9471,457304.5887
186742.6244,450021.6833
200263.9717,452127.9204
191389.0277,441916.0816
205084.1465,461402.6071
203716.9381,444579.034
203716.9381,444579.034
207834.3873,454817.8397
193657.2275,442684.6773
193838.0057,442520.948
207417.9449,445410.8511
193629.1746,456303.7491
185838.9131,443594.3636
199198.6497,451216.4226
193671.1809,442608.257
204512.9899,444870.8103
186712.752,450014.9056
193612.2494,442364.8843
204263.7065,461207.2447
201946.3111,459304.7718
202890.7014,444070.4441
202890.7014,444070.4441
202207.5706,446324.5871
193802.2675,456419.664
212091.8416,448085.318
185803.6118,447396.4592
193408.8786,455423.6338
186301.6878,447468.616
205779.0874,450956.8478
203219.1661,445239.4052
197958.2625,451056.1464
200487.2698,452159.9004
201428.5176,445869.9511
202139.3266,459501.1472
193759.9057,446582.5569
193759.9057,446582.5569
191663.8259,446313.2761
193870.8129,446351.9742
199325.0134,451250.997
204512.9899,444870.8103
198991.0028,451828.2224
199094.8142,452287.6943
193551.2357,442377.4147
186330.5058,443857.1464
198994.5883,452137.4383
193609.7075,456302.641
201335.6963,452231.3295
197940.657,451160.1579
193767.9354,442617.3761
191230.1831,438962.5606
206162.9863,451957.4967
193011.9823,450260.4912
192431.866,442261.6685
196567.5323,451997.8196
211985.558,448157.1963
194985.0627,454102.0743
204738.8653,444986.1082
200833.1214,452040.3239
201978.0741,451518.3053
195829.409,442222.7869
191307.7511,442331.0971
202148.8423,444308.8291
193606.5154,442399.59
199697.0972,452368.8203
201687.5739,452408.3468
192841.2925,457500.73
202206.6782,459574.0708
212139.6819,448366.8107
210456.9321,443484.5956
205733.9535,449576.2044
199302.8185,451834.8172
185553,450880
210562.9008,443555.8647
192527.1381,454091.3817
200365.8523,452054.0146
209542.7468,445930.6216
200365.066,452034.6679
209563.782,445868.6655
192773.5956,445737.8762
210491.6889,443508.2212
203483.2171,447221.7146
202254.1614,459696.5524
203008.1465,446054.4113
200411.5221,451397.5414
200096.3491,451381.7035
212142.2298,448155.7129
203472.0061,446003.9858
202731.8841,444237.1288
203483.6494,446102.2361
199143.472,451193.9909
200294.7149,452051.8076
200840.4283,452076.902
193694.665,446449.5462
206158.6092,452075.431
190278.7656,441825.8848
212111.3368,448059.842
193480.7264,442387.8109
199263.8038,451326.7212
197523.5381,449015.375
188253.3774,449654.079
185438.3413,449492.2301
192393.6633,442281.9644
199055.7048,451096.008
201684.7048,446105.859
202151.4143,459525.9161
186651.0259,450017.8325
209568.2889,445854.4281
186301.6878,447468.616
186301.6878,447468.616
193636.1675,442688.2295
199774.4717,448110.5665
203102.075,445751.652
193611.4408,442378.0401
193611.4408,442378.0401
200031.0927,452102.0691
201153.5436,442643.2808
200365.066,452034.6679
205270.7199,461175.3772
212167.3054,448056.9768
193549.6352,442401.4036
200187.1341,452133.172
192518.6654,454025.2234
197567.7478,452347.9739
193282.6543,447611.552
186307.2853,447832.9074
192533.0616,451909.131
195748.0644,449145.5788
193715.7209,442661.6006
194181.5026,450237.847
186684.35,450092.2739
192875.9121,450384.525
200068.2636,451379.6005
191758.9515,446252.7708
193667.8148,442621.6799
185554.2994,450891.3124
211963.7874,448212.0129
185554.2994,450891.3124
210456.9321,443484.5956
191090.1566,439210.5043
185554.2994,450891.3124
204285.3312,461213.5751
202128.4725,459521.0232
198304.5779,442595.6151
204512.9899,444870.8103
207324.9536,448395.0675
187809.044,449287.3564
204512.9899,444870.8103
190278.7656,441825.8848
193859.5375,442511.0261
186968.1804,446537.1142
193615.5526,442794.005
191245.6152,439015.04
190907.6888,440324.1317
191195.6596,439065.1694
203013.751,446679.1602
204317.2649,461224.0141
204348.91,461195.825
192580.069,454214.6156
191834.1577,446271.7549
202178.4509,459608.225
191026.4742,439182.8707
190142.6773,441837.5914
191241.4617,438929.3177
204581.0986,444970.5178
191077.5693,439178.1255
190230.7609,441819.4808
190278.7656,441825.8848
203907.405,445414.65
194244.1211,445650.2211
