개방자치단체코드,관리번호,인허가일자,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,업태구분명,좌표정보(X),좌표정보(Y)
3220000,3220000-102-2018-00006,2018-12-11,,,,,,311.39,135-915,"서울특별시 강남구 역삼동 678-24 늘봄빌딩 2,3층","서울특별시 강남구 테헤란로27길 8-4, 늘봄빌딩 (2,3층) (역삼동)",6141,스크린노래,룸살롱,203330.125,444424.745
3230000,3230000-102-2017-00004,2017-05-31,,,,,,85.41,138-805,서울특별시 송파구 가락동 98-7,"서울특별시 송파구 송파대로28길 13, 지하1층 101호 (가락동, 거북이빌딩)",5719,골드1,룸살롱,210491.3219,443569.7632
3180000,3180000-102-2001-14135,2001-10-19,,,,,,83.18,150-852,서울특별시 영등포구 신길동 449-22 신성빌딩,"서울특별시 영등포구 영등포로 400, 신성빌딩 지하1층 (신길동)",7354,린스,룸살롱,193084.3555,445642.8411
3210000,3210000-102-1982-06377,1982-02-06,,,,,02 5177647,126,137-902,서울특별시 서초구 잠원동 12-21,서울특별시 서초구 강남대로 615 (잠원동),6524,만남,룸살롱,201601.1851,446044.7572
3050000,3050000-102-2000-12300,2000-11-23,,,,,,90.96,130-842,서울특별시 동대문구 장안동 382-23,서울특별시 동대문구 장한로21길 11-4 (장안동),2624,아지트7080,룸살롱,206020.8639,451931.5039
3000000,3000000-102-2011-00017,2011-08-29,,,,,,158.65,110-140,서울특별시 종로구 수송동 58 두산위브 (지하1층 B137~B140호),"서울특별시 종로구 삼봉로 81 (수송동,두산위브 (지하1층 B137~B140호))",3150,늘기쁜,룸살롱,198324.6536,452252.8124
3000000,3000000-102-2001-12216,2001-09-17,,,,,02 7447949,123.26,110-808,서울특별시 종로구 돈의동 123-0,서울특별시 종로구 돈화문로5가길 15 (돈의동),3139,피크(PEAK),룸살롱,199163.2044,452128.837
3180000,3180000-102-2008-00008,2008-07-07,,,,,,97.08,150-033,서울특별시 영등포구 영등포동3가 23-1 2층,"서울특별시 영등포구 영등포로50길 8-3 (영등포동3가, 2층)",7304,타임,룸살롱,191895.3382,446230.0373
3220000,3220000-102-2000-22794,2000-11-30,,,,,02 5454479,147.45,135-517,서울특별시 강남구 청담동 98-6,"서울특별시 강남구 도산대로 455, 지하1층 (청담동)",6015,베를린,룸살롱,204030.1985,446914.8238
3200000,3200000-102-2014-00001,2014-01-17,,,,,,46.31,151-930,서울특별시 관악구 신림동 1639-23,"서울특별시 관악구 남부순환로 1596, 나동 지하1층 (신림동)",8776,오예스노래빠,룸살롱,193563.6243,442402.7485
3080000,3080000-102-2008-00001,2008-01-21,,,,,,126.63,142-874,서울특별시 강북구 수유동 86-1,서울특별시 강북구 도봉로73길 11 (수유동),1114,아우라(AURA),룸살롱,201980.0954,458861.1203
3200000,3200000-102-2000-10195,2000-03-17,,,,,02 5254196,96.25,151-800,서울특별시 관악구 남현동 1061-22,서울특별시 관악구 과천대로 945 (남현동),8807,수,룸살롱,198284.4874,441422.5475
