좌표정보(X),좌표정보(Y)
202722.5318,444055.0707
204228.2373,446332.6927
203882.778,444136.167
209835.4199,445884.5368
210694.914,444077.2546
208589.3633,445455.9041
,
210879.2516,447675.7397
212172.8285,448321.3302
212416.3343,449042.6433
197228.183,452706.9723
201722.5402,451689.2153
197446.3252,451215.4064
200463.6253,450497.4609
197323.7652,449118.9501
198593.0555,449214.2468
188132.5656,444217.9483
198333.0285,450665.0543
185540.4003,449160.8499
199305.2448,448750.925
204710.4487,449014.3472
205167.5355,448920.6826
204464.9286,448513.72
201551.2415,449578.2944
203309.5192,453682.0012
207807.6576,454906.6009
201946.7686,452809.3542
207807.6576,454906.6009
207796.7048,454535.4089
201604.4114,454440.1445
200764.9873,454063.7847
201653.495,454684.5538
203059.259,461896.4912
193988.3407,457192.6678
192889.1015,456720.3176
191559.9181,452563.2918
184504.7837,451283.5352
193450.3399,451326.1894
201580.7158,454684.5357
195292.9726,449083.0603
195923.9074,449451.0162
192056.1105,449755.7354
187805.359,449620.6035
184825.6763,450763.3366
185701.5395,447825.3666
188953.5087,443287.8319
190919.498,442584.8847
189162.2461,445221.8898
189790.1605,444574.4157
191057.1246,446561.3999
193781.8522,446488.1909
197902.471,441374.759
192916.776,440911.5918
192709.0232,441173.864
197033.0033,441363.3912
188903.7238,446967.4657
195606.1423,442265.2975
182984.8915,452116.8739
198677.2534,442781.2916
198677.2534,442781.2916
202721.7902,442832.591
203379.5055,447099.4557
203470.8484,447369.5799
203470.8484,447369.5799
203599.0628,444556.0623
203407.393,444533.7188
203470.8484,447369.5799
203280.4504,444884.6953
211894.5691,450118.6238
211236.1348,447863.442
192974.2738,456617.1281
201380.3361,457442.1902
202390.522,460211.4103
214956.1313,450617.9236
212452.5586,441411.9064
193289.3104,447527.1526
209335.7119,457500.7263
202007.1392,459396.5536
188385.2521,448602.3139
207494.4281,448782.4091
197302.2965,452690.8355
207956.4912,448179.4178
193694.9917,449568.978
189473.5308,448365.502
190799.833,439885.9413
203208.8644,447096.715
192766.974,457456.7198
194170.4082,450453.3605
203470.8484,447369.5799
198504.7727,452018.1615
199004.1523,452067.8933
202291.9319,457551.1583
191161.7894,442448.0984
193099.5636,447330.4458
204798.3468,448669.0434
202029.4876,445468.4558
204085.5597,457245.2426
213700.8777,450278.1009
,
190561.8569,445794.8082
191308.2142,448106.7378
210654.5062,442070.5757
192815.6702,454289.8964
202765.0571,451661.8771
193726.434,457937.6845
191210.7804,439226.3786
191345.5375,447240.7312
206127.413,449074.5639
185554.2994,450891.3124
193748.0742,442333.0773
203277.4399,447140.6481
188702.7233,447041.496
204335.057,461157.2109
185827.2394,451790.6995
199063.9247,452436.0264
192785.998,447523.1165
211260.6206,449814.2443
190779.8247,442527.528
202979.931,444398.5957
198504.7727,452018.1615
195124.9933,450671.9134
190903.8535,443606.0642
205769.8191,449232.7207
193326.931,446973.9146
194129.5552,450337.716
198259.6536,451392.1982
193844.1691,446511.7833
211386.5354,450013.0898
190156.4,445369.5178
198140.0113,452161.8044
191124.182,443626.2944
193523.257,442547.8316
188700.8411,447028.1848
206630.7141,461164.1208
194496.6464,450584.5197
201208.4938,442790.9395
192778.7856,449539.2732
193209.2835,446474.9566
206882.3799,456078.7096
202634.2109,453543.5944
211376.7858,447168.6762
211152.9992,448231.9615
211211.2054,448209.6393
211838.3543,447195.6768
212057.9967,449087.1838
190455.0569,441953.1694
190140.2761,442909.7963
190822.8514,442253.1329
191019.2902,440466.937
189744.9304,441398.7456
190694.8803,440764.4263
200579.241,443236.0121
206650.471,454520.2048
202393.6876,450986.9488
207543.7127,445184.9487
199495.1532,451041.9764
203018.5893,445174.1403
203018.5893,445174.1403
203018.5893,445174.1403
194469.983,450755.8603
196472.7396,452113.047
193762.6411,451445.2748
193028.9997,449481.688
191847.8377,450582.0546
193430.8653,450431.6233
188172.0178,449614.0685
184865.6882,450758.1659
207144.735,445314.1904
212609.3774,441586.03
210521.8418,449248.7449
211692.1946,446959.1813
214956.1313,450617.9236
211605.3041,447773.8848
184555.6892,451767.8335
184623.199,450094.6599
189959.5806,442508.5568
192171.215,454076.4911
185945.1711,447332.6018
188674.9951,443749.503
190107.0454,445157.6264
189450.606,441142.6451
191341.2387,438365.6132
189616.1421,442201.7403
190880.2391,443444.2284
198202.2666,442968.9084
193170.9785,440810.399
196150.3321,442005.1274
196798.1622,441510.0428
193506.4536,442451.5389
196384.5443,442822.9803
201034.5966,443252.3986
200961.2859,444290.3671
203446.6751,442412.0458
196338.2783,441660.9652
199233.9325,443224.4888
202073.0842,444933.9445
204987.4623,445453.3553
211810.486,443684.7692
199824.096,452984.3605
197666.5692,450622.9312
200026.0919,448064.4569
202666.5069,451372.2558
202985.0668,451131.0626
206559.9497,449201.972
205493.388,448057.0231
208227.6842,448746.8247
208463.2481,455158.8336
206373.7851,461247.4978
206822.499,462909.7159
205817.9721,462079.0558
193009.3456,456570.4629
,
205316.1577,453709.7639
197029.0064,449103.5372
192278.0821,441782.7281
198414.811,441794.3531
204907.1096,448440.4561
203890.4927,462686.0774
194631.99,442806.8576
188476.5425,446722.2279
209342.8001,456117.261
202891.4811,460645.8301
198278.3024,442057.3422
211088.7049,449665.7204
197011.7375,447430.1003
192875.2005,456240.4119
,
191747.5287,451768.4326
193860.435,451428.8108
184971.5227,450643.0564
203749.4165,440600.749
198816.9517,449064.9005
212511.6556,442722.3711
203529.8753,462788.8014
211860.9822,449623.0941
196823.2915,448438.0939
186116.0043,450520.1882
192847.7891,458192.1206
191591.5092,438768.4991
192777.1997,452775.827
198947.4923,448424.7185
195084.2499,442356.135
197380.2663,452991.0152
189371.9985,448321.9098
185517.646,450898.3544
215217.4026,451435.0315
193470.4254,456266.4185
192240.9355,456236.4636
205391.0704,458333.9892
211754.3946,447168.7443
201873.4211,460141.129
190858.6495,440808.5413
198771.2334,452226.8752
212589.8106,449726.4708
203063.6672,443570.8944
208048.3849,454093.0952
202158.4048,459633.961
198414.811,441794.3531
208589.3633,445455.9041
203418.6423,443401.6481
209790.9599,443481.2122
197044.277,446549.8926
190129.3398,446063.0909
211244.9512,445214.1797
185572.8432,450331.5544
211892.2122,447180.1416
188063.0627,449930.3206
185486.6703,450776.8978
201295.7,443474.5249
203884.512,442586.2478
204125.3126,444715.4261
189921.6719,445990.5383
196803.7539,447100.4786
194057.633,440919.0129
206217.4347,448506.2187
