설립구분,표준학교코드,학교명,관할조직명,도로명우편번호,도로명주소,도로명상세주소,설립일자,개교기념일,시도교육청코드,적재일시,위도,경도
공립,7134150,서울숭신초등학교,서울특별시성동광진교육지원청,4702,서울특별시 성동구 마장로 161,(하왕십리동),19590403,19590403,B10,20230326,37.5676959,127.0278038
사립,7134118,한양초등학교,서울특별시성동광진교육지원청,4763,서울특별시 성동구 살곶이길 208,/ 한양초등학교 (사근동),19660220,19660515,B10,20230326,37.5613868,127.0436916
사립,7134117,세종초등학교,서울특별시성동광진교육지원청,5006,서울특별시 광진구 군자로 114,/ 세종초등학교 (군자동),19621004,19621004,B10,20230326,37.5507345,127.0741314
사립,7134116,성동초등학교,서울특별시성동광진교육지원청,5114,서울특별시 광진구 자양로4길 63,(자양동),19661216,19670320,B10,20230326,37.53293670000001,127.0895315
공립,7134114,서울행현초등학교,서울특별시성동광진교육지원청,4713,서울특별시 성동구 행당로 95,(행당동),20050714,20050901,B10,20230326,37.5577402,127.0293614
공립,7134113,서울행당초등학교,서울특별시성동광진교육지원청,4746,서울특별시 성동구 고산자로8길 6,/ 서울행당초등학교 (행당동),19621026,19621026,B10,20230326,37.5566893,127.0346474
공립,7134112,서울중마초등학교,서울특별시성동광진교육지원청,4907,서울특별시 광진구 동일로72길 43,(중곡동),19821110,19821110,B10,20230326,37.5658818,127.0798086
공립,7134111,서울중광초등학교,서울특별시성동광진교육지원청,4908,서울특별시 광진구 긴고랑로13길 59,(중곡동/중광초등학교),19980901,19980901,B10,20230326,37.56514960000001,127.0825086
공립,7134110,서울장안초등학교,서울특별시성동광진교육지원청,5004,서울특별시 광진구 군자로 74,(군자동),19550319,19550319,B10,20230326,37.5499417,127.071995
공립,7134109,서울자양초등학교,서울특별시성동광진교육지원청,5054,서울특별시 광진구 아차산로44길 26,(자양동),19451210,19451210,B10,20230326,37.5368302,127.0795451
공립,7134108,서울응봉초등학교,서울특별시성동광진교육지원청,4742,서울특별시 성동구 독서당로62길 28,(응봉동/ 응봉초등학교),20020712,20021024,B10,20230326,37.5509166,127.03405
공립,7134107,서울용마초등학교,서울특별시성동광진교육지원청,4926,서울특별시 광진구 천호대로113길 10,(중곡동),19720801,19721123,B10,20230326,37.5579653,127.084207
공립,7134106,서울용답초등학교,서울특별시성동광진교육지원청,4805,서울특별시 성동구 용답25길 1,/ 서울용답초등학교,19830420,19830420,B10,20230326,37.560829,127.053555
공립,7134105,서울용곡초등학교,서울특별시성동광진교육지원청,4940,서울특별시 광진구 용마산로22길 82,/ 서울용곡초등학교 (중곡동),19780213,19780504,B10,20230326,37.5668387,127.0885593
공립,7134104,서울옥정초등학교,서울특별시성동광진교육지원청,4735,서울특별시 성동구 한림말길 43,(옥수동/옥정초등학교),19710522,19710522,B10,20230326,37.5416733,127.0155528
공립,7134103,서울옥수초등학교,서울특별시성동광진교육지원청,4740,서울특별시 성동구 금호로1길 25,/ 옥수초등학교 (금호동4가),19670327,19661202,B10,20230326,37.5459206,127.0221894
공립,7134102,서울양진초등학교,서울특별시성동광진교육지원청,4982,서울특별시 광진구 워커힐로 32,(광장동/양진초중학교),20050301,20050506,B10,20230326,37.5445232,127.0982459
공립,7134101,서울양남초등학교,서울특별시성동광진교육지원청,5114,서울특별시 광진구 뚝섬로64길 71,/ (자양동/ 서울양남초등학교),19831203,19840516,B10,20230326,37.5307405,127.0897285
공립,7134100,서울신자초등학교,서울특별시성동광진교육지원청,5110,서울특별시 광진구 뚝섬로46길 64,/ 서울신자초등학교 (자양동),19821207,19830504,B10,20230326,37.5300737,127.0755326
공립,7134099,서울신양초등학교,서울특별시성동광진교육지원청,5090,서울특별시 광진구 능동로 42,/ 신양초등학교 (자양동),19790411,19790411,B10,20230326,37.5345981,127.0691877
공립,7134098,서울송원초등학교,서울특별시성동광진교육지원청,4800,서울특별시 성동구 동일로43길 9,(송정동),20090301,20090301,B10,20230326,37.5540584,127.0694378
공립,7134097,서울성자초등학교,서울특별시성동광진교육지원청,5102,서울특별시 광진구 뚝섬로56길 7,/ 서울성자초등학교 (자양동),19840518,19840518,B10,20230326,37.5311675,127.0830972
공립,7134096,서울성수초등학교,서울특별시성동광진교육지원청,4798,서울특별시 성동구 아차산로17길 21,(성수동2가),19720901,19721201,B10,20230326,37.5442513,127.0634269
공립,7134095,서울사근초등학교,서울특별시성동광진교육지원청,4761,서울특별시 성동구 사근동11길 16,(사근동/ 사근초등학교),19670711,19671113,B10,20230326,37.5628186,127.0477686
공립,7134094,서울무학초등학교,서울특별시성동광진교육지원청,4710,서울특별시 성동구 무학봉15길 21,/ 서울무학초등학교 (하왕십리동),19150901,19150901,B10,20230326,37.562957,127.0295536
공립,7134093,서울마장초등학교,서울특별시성동광진교육지원청,4753,서울특별시 성동구 마장로35나길 31,/ 서울마장초등학교 (마장동),20050301,20050301,B10,20230326,37.5683436,127.0419269
공립,7134092,서울동호초등학교,서울특별시성동광진교육지원청,4731,서울특별시 성동구 매봉길 49-35,(옥수동/ 동호초등학교),20100301,20100430,B10,20230326,37.5468617,127.0103129
공립,7134091,서울동자초등학교,서울특별시성동광진교육지원청,5069,서울특별시 광진구 뚝섬로 561,(자양동),19841205,19841205,B10,20230326,37.5347052,127.0721208
공립,7134090,서울동의초등학교,서울특별시성동광진교육지원청,4948,서울특별시 광진구 영화사로 111,(구의동/서울동의초등학교),19870709,19871026,B10,20230326,37.5533804,127.0988236
공립,7134089,서울동명초등학교,서울특별시성동광진교육지원청,4705,서울특별시 성동구 마장로29길 29,/ 서울동명초등학교 (마장동),19441010,19441010,B10,20230326,37.5687519,127.0357193
공립,7134088,서울금호초등학교,서울특별시성동광진교육지원청,4726,서울특별시 성동구 무수막길 69,/ 서울금호초등학교 (금호동2가),19580401,19580401,B10,20230326,37.5525447,127.0200964
